Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
P8-I-VFM-FRI2,BKNFF,Spwo,C,Q,YMP,T8,5,1,4,0,0
HN-I-UFF-FRI7,BKNDF,Yze Cpbftcpo,B,P,YMP,LR,4,2,1,0,0
XU-I-DFQ-FRI1,BKNFI,Hltgpo,B,Y,YMP,BY,1,1,3,0,0
QJ-I-VFK-RTI2,BKNQG,Yze Cpbftcpo,B,Q,PAY,UN,1,1,1,0,0
YP-I-FGH-FRI1,BKNFF,Yze Cpbftcpo,C,A,YMP,CT,1,1,2,0,0
UG-I-VUT-QTF,BKNFG,Spwo,D,Q,AXM,YU,9,2,2,1,1
OZ-I-VFG-QTF,BKNFG,Spwo,C,Q,AXM,SD,30,7,8,1,0
YP-I-LJP-QTF,BKNFF,Yze Cpbftcpo,B,G,AXM,CT,2,1,3,0,0
OT-I-IFD-QTF,BKNQG,Spwo,C,D,AXM,SX,1,1,6,0,1
SG-I-LFG-QTF,BKNFH,Hltgpo,D,G,AXM,WK,1,1,3,0,1
XW-I-DFF-FRI2,BKNRG,Hltgpo,B,Y,YMP,BA,2,0,1,0,0
OT-I-VIG-RTI1,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,2,2,1,0,0
RZ-I-DJP-RTI3,BKNQF,Yze Cpbftcpo,B,Y,PAY,VD,7,0,2,1,0
OF-I-KFF-QTF,BKNDH,Hltgpo,C,F,AXM,SJ,10,2,3,0,0
YZ-I-PGG-FRI15,BKNQG,Yze Cpbftcpo,A,K,YMP,CD,1,1,1,0,0
IJ-I-VFH-FRI5,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,MN,4,0,2,0,0
OT-I-WGV-FRI2,BKNQG,Yze Cpbftcpo,A,R,YMP,SX,1,1,3,0,0
U6-I-JFF-FRI2,BKNQG,Yze Cpbftcpo,D,E,YMP,PQ,2,1,1,0,0
HT-I-VGS-FRI1,BKNDF,Hltgpo,B,Q,YMP,LX,3,1,3,0,0
PZ-I-DFG-RTI7,BKNRG,Yze Cpbftcpo,B,Y,PAY,TD,7,2,2,0,0
FJ-I-TFH-QTF,BKNRG,Yze Cpbftcpo,C,O,AXM,JN,3,2,4,1,0
GP-I-IFF-QTF,BKNFH,Spwo,B,D,AXM,KT,4,2,6,0,0
NI-I-VFZ-FRI1,BKNDG,Hltgpo,B,Q,YMP,RM,12,4,1,0,0
PX-I-JFU-FRI2,BKNDF,Yze Cpbftcpo,A,E,YMP,TB,1,1,2,0,0
SB-I-VFI-FRI3,BKNFG,Hltgpo,D,Q,YMP,DY,9,5,3,1,1
YZ-I-VFJ-FRI8,BKNQG,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,CD,4,1,2,0,0
LW-I-XSC-RTI7,BKNFF,Yze Cpbftcpo,B,S,PAY,PA,2,2,4,1,0
SG-I-XFF-FRI4,BKNFG,Hltgpo,D,S,YMP,DY,3,1,2,0,0
NX-I-WIO-FRI2,BKNQH,Yze Cpbftcpo,A,R,YMP,RB,2,1,2,1,0
FY-I-IHJ-FRI1,BKNDG,Hltgpo,C,D,YMP,JC,1,1,5,0,1
UN-I-VFV-FRI3,BKNDG,Hltgpo,B,Q,YMP,YR,4,1,1,1,0
OT-I-VHO-FRI2,BKNQG,Spwo,B,Q,YMP,SX,2,2,5,0,0
JL-I-LGH-QTF,BKNQF,Yze Cpbftcpo,B,G,AXM,NP,1,1,1,1,0
OT-I-VHH-FRI9,BKNQG,Spwo,B,Q,YMP,SX,1,1,1,0,0
FY-I-VFO-RTI2,BKNDG,Yze Cpbftcpo,B,Q,PAY,JC,2,1,2,0,0
PJ-I-XFG-FRI3,BKNQG,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,S,YMP,TN,8,2,2,1,0
XU-I-VFK-QTF,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,AXM,BY,12,3,8,0,0
WT-I-VFY-FRI1,BKNFG,Spwo,B,Q,YMP,AX,2,2,2,0,0
ZP-I-VIX-FRI1,BKNFI,Spwo,C,Q,YMP,DT,3,2,2,0,0
PZ-I-FFG-RTI2,BKNRG,Yze Cpbftcpo,B,A,PAY,TD,4,1,2,1,0
ZP-I-XFU-RTI2,BKNFI,Yze Cpbftcpo,B,S,PAY,DT,2,1,1,0,0
LD-I-IJD-QTF,BKNFI,Spwo,C,D,AXM,PH,1,1,8,0,1
PX-I-JGA-QTF,BKNDF,Yze Cpbftcpo,A,E,AXM,TB,1,1,2,0,0
PX-I-THM-QTF,BKNDF,Hltgpo,B,O,AXM,TB,1,1,3,0,0
FY-I-DFM-FRI1,BKNDG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Y,YMP,JC,16,1,7,0,0
YP-I-RGR-QTF,BKNFF,Yze Cpbftcpo,A,M,AXM,CT,7,1,1,0,1
NV-I-VHI-FRI1,BKNRF,Spwo,C,Q,YMP,RZ,6,1,4,0,0
XS-I-XFJ-FRI3,BKNDG,Spwo,C,S,YMP,BW,17,2,9,0,0
GW-I-LFR-FRI1,BKNDF,Yze Cpbftcpo,B,G,YMP,KA,1,1,2,0,0
NX-I-FGE-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,1,1,3,0,0
HS-I-VHA-FRI1,BKNDH,Spwo,B,Q,YMP,LW,6,1,2,0,0
LW-I-XGI-FRI18,BKNFF,Spwo,C,S,YMP,PA,10,2,2,0,1
PX-I-LIA-QTF,BKNDF,Yze Cpbftcpo,B,G,AXM,TB,2,1,2,0,0
OT-I-FFW-FRI2,BKNQG,Yze Cpbftcpo,B,A,YMP,SX,2,1,1,0,0
JR-I-VFF-QTF,BKNQF,Spwo,D,Q,AXM,JO,6,3,2,1,0
P7-I-PJE-FRI1,BKNFF,Yze Cpbftcpo,A,K,YMP,T7,1,1,2,0,0
UP-I-VFS-FRI4,BKNQH,Hltgpo,B,Q,YMP,YT,1,1,1,0,0
OF-I-XFO-FRI7,BKNDH,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,S,YMP,SJ,19,2,1,0,0
NY-I-DFI-FRI2,BKNFI,Spwo,C,Y,YMP,RC,13,2,6,0,1
FJ-I-VFF-FRI10,BKNRG,Spwo,B,Q,YMP,JN,29,5,6,0,1
OF-I-DGP-QTF,BKNDH,Spwo,C,Y,AXM,SJ,22,1,8,0,1
HT-I-RFL-QTF,BKNDF,Yze Cpbftcpo,A,M,AXM,LX,1,1,2,0,0
FZ-I-HFG-QTF,BKNFG,Yze Cpbftcpo,B,C,AXM,JD,1,1,1,0,0
ZD-I-HGN-FRI3,BKNDF,Yze Cpbftcpo,C,C,YMP,DH,2,1,2,1,0
IG-I-IFJ-FRI1,BKNFH,Hltgpo,D,D,YMP,UP,4,1,3,1,1
PX-I-VKZ-FRI1,BKNDF,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,TB,22,4,8,0,0
O8-I-LFL-RTI2,BKNQF,Yze Cpbftcpo,D,G,PAY,JO,1,1,1,1,0
FW-I-AFJ-FRI2,BKNDF,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,V,YMP,JA,2,1,6,0,1
HS-I-IFA-FRI1,BKNDH,Spwo,B,D,YMP,LW,4,1,2,0,0
SJ-I-DFP-QTF,BKNFI,Spwo,C,Y,AXM,WN,19,3,11,0,1
ZP-I-LHH-FRI1,BKNFI,Yze Cpbftcpo,B,G,YMP,DT,1,1,1,0,0
YM-I-USS-FRI1,BKNDG,Yze Cpbftcpo,A,P,YMP,CQ,1,1,1,0,0
YB-I-VFK-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,CF,1,1,1,1,0
GH-I-XFG-QTF,BKNQG,Spwo,C,S,AXM,KL,13,4,2,0,1
RC-I-HFF-FRI6,BKNDH,Yze Cpbftcpo,B,C,YMP,VG,1,1,1,0,1
NY-I-IFC-QTF,BKNFI,Spwo,C,D,AXM,RC,2,1,2,0,0
VF-I-JFF-FRI1,BKNRF,Yze Cpbftcpo,A,E,YMP,ZJ,2,1,3,0,0
IW-I-VFG-FRI2,BKNDF,Spwo,C,Q,YMP,MA,4,2,7,0,0
JL-I-IFG-FRI4,BKNQF,Spwo,B,D,YMP,NP,8,2,5,1,1
OT-I-XFI-FRI1,BKNQG,Spwo,C,S,YMP,SX,17,3,7,0,1
KW-I-VGY-FRI20,BKNFI,Hltgpo,B,Q,YMP,OA,5,2,4,0,0
XW-I-VGN-FRI5,BKNRG,Spwo,B,Q,YMP,BA,34,4,3,0,0
YP-I-JGM-FRI1,BKNFF,Yze Cpbftcpo,A,E,YMP,CT,1,1,3,0,0
XW-I-XFN-FRI10,BKNRG,Spwo,C,S,YMP,BA,46,4,5,1,0
OF-I-LVL-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,SJ,5,1,1,0,0
HS-I-IDC-RTI1,BKNDH,Yze Cpbftcpo,B,D,PAY,LW,6,1,1,1,0
U7-I-XFF-FRI4,BKNQG,Spwo,D,S,YMP,AF,15,2,1,0,0
UN-I-VFQ-FRI4,BKNDG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,YR,1,1,4,0,0
NX-I-VKP-FRI3,BKNQH,Hltgpo,B,Q,YMP,RB,1,1,3,0,0
NX-I-SFV-RTI3,BKNQH,Yze Cpbftcpo,B,N,PAY,RB,1,1,1,0,0
B4-I-VFK-FRI2,BKNFF,Spwo,C,Q,YMP,F4,10,1,7,0,1
NI-I-HGH-FRI4,BKNDG,Yze Cpbftcpo,B,C,YMP,RM,1,1,2,1,0
UY-I-SFJ-RTI6,BKNFI,Yze Cpbftcpo,B,N,PAY,YC,17,3,1,0,0
NV-I-LGF-FRI2,BKNRF,Yze Cpbftcpo,B,G,YMP,RZ,1,1,4,1,0
IY-I-VPJ-QTF,BKRQG,Spwo,D,Q,AXM,MC,1,1,3,0,1
OF-I-TIN-QTF,BKNDH,Yze Cpbftcpo,C,O,AXM,SJ,8,1,4,0,0
XS-I-KFJ-QTF,BKNDG,Spwo,C,F,AXM,BW,12,3,6,0,1
HS-I-LHP-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,LW,2,1,1,1,1
NX-I-VJD-FRI6,BKNQH,Hltgpo,B,Q,YMP,RB,1,1,2,0,0
HS-I-VHS-RTI3,BKNDH,Yze Cpbftcpo,B,Q,PAY,LW,3,1,4,1,0
KN-I-IFK-RTI1,BKNFH,Yze Cpbftcpo,B,D,PAY,OR,15,2,1,1,0
PX-I-JFX-FRI2,BKNDF,Yze Cpbftcpo,A,E,YMP,TB,1,1,1,0,0
PX-I-HGU-QTF,BKNDF,Yze Cpbftcpo,B,C,AXM,TB,1,1,2,0,1
MZ-I-IFI-FRI2,BKNFG,Spwo,B,D,YMP,QD,2,1,1,0,0
JH-I-VFX-RTI1,BKNDF,Yze Cpbftcpo,B,Q,PAY,NL,2,1,1,0,0
XW-I-WFK-FRI2,BKNRG,Yze Cpbftcpo,A,R,YMP,BA,1,1,2,1,0
RT-I-DFH-QTF,BKNQG,Spwo,C,Y,AXM,VX,23,2,6,0,1
NI-I-VFA-FRI1,BKNDG,Hltgpo,B,Q,YMP,RM,5,1,1,1,1
YP-I-IGC-FRI1,BKNFF,Spwo,B,D,YMP,CT,1,1,4,1,0
UQ-I-IFD-FRI4,BKNFG,Spwo,B,D,YMP,YU,9,1,3,1,0
LD-I-XZF-RTI3,BKNFI,Yze Cpbftcpo,B,S,PAY,PH,4,1,1,0,0
KN-I-DFM-FRI5,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Y,YMP,OR,10,1,8,1,1
FJ-I-IFH-FRI2,BKNRG,Spwo,B,D,YMP,JN,4,1,2,0,0
NV-I-XFM-FRI8,BKNRF,Spwo,B,S,YMP,RZ,7,2,2,0,0
OT-I-LGF-FRI2,BKNQG,Yze Cpbftcpo,C,G,YMP,SX,2,1,5,0,1
LD-I-XZF-RTI6,BKNFI,Yze Cpbftcpo,B,S,PAY,PH,10,2,1,1,0
KN-I-TFF-QTF,BKNFH,Yze Cpbftcpo,C,O,AXM,OR,2,1,2,0,0
OT-I-PIN-FRI5,BKNQG,Yze Cpbftcpo,A,K,YMP,SX,1,1,1,0,0
YP-I-IGC-FRI4,BKNFF,Hltgpo,C,D,YMP,CT,1,1,3,1,1
HN-I-WFN-QTF,BKNDF,Yze Cpbftcpo,A,R,AXM,LR,1,1,3,0,0
SG-I-DFH-FRI2,BKNFG,Hltgpo,D,Y,YMP,DY,3,1,2,0,0
OT-I-VIG-QTF,BKNQG,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,AXM,SX,25,2,5,1,1
NX-I-FGS-RTI1,BKNQH,Yze Cpbftcpo,B,A,PAY,RB,1,1,2,0,0
ST-I-KFF-QTF,BKNFH,Spwo,C,F,AXM,WX,10,2,2,0,1
KW-I-IFS-QTF,BKNFI,Spwo,C,D,AXM,OA,32,3,7,0,1
LD-I-IJQ-QTF,BKNFI,Hltgpo,C,D,AXM,PH,1,1,3,0,0
YM-I-WFN-FRI11,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,4,1,1,0,1
YZ-I-LHA-FRI10,BKNQG,Yze Cpbftcpo,B,G,YMP,CD,1,1,1,0,0
XS-I-VFB-RTI9,BKNDG,Yze Cpbftcpo,B,Q,PAY,BW,17,6,1,1,0
XU-I-IFX-FRI1,BKNFI,Spwo,B,D,YMP,BY,4,1,4,0,1
JL-I-WFQ-FRI1,BKNQF,Yze Cpbftcpo,A,R,YMP,NP,2,1,2,0,0
UQ-I-VFZ-FRI1,BKNFG,Hltgpo,B,Q,YMP,YU,3,1,3,1,0
LD-I-VGN-FRI1,BKNFI,Spwo,B,Q,YMP,PH,5,2,7,0,0
OF-I-DGM-QTF,BKNDH,Spwo,C,Y,AXM,SJ,6,2,9,0,1
LD-I-SJX-RTI1,BKNFI,Yze Cpbftcpo,B,N,PAY,PH,2,1,1,1,0
OF-I-XFN-FRI7,BKNDH,Hltgpo,C,S,YMP,SJ,33,2,6,1,1
ST-I-IFM-FRI1,BKNFH,Hltgpo,C,D,YMP,WX,1,1,5,0,1
PX-I-IGB-FRI3,BKNDF,Hltgpo,C,D,YMP,TB,1,1,2,1,1
SA-I-LFF-RTI1,BKNFG,Yze Cpbftcpo,D,G,PAY,YU,1,1,1,0,0
NI-I-LFP-QTF,BKNDG,Yze Cpbftcpo,B,G,AXM,RM,1,1,1,0,0
JE-I-IFL-QTF,BKNFH,Spwo,B,D,AXM,NI,4,2,5,0,0
ZP-I-IHH-QTF,BKNFI,Spwo,C,D,AXM,DT,1,1,3,0,0
PZ-I-VFM-FRI2,BKNRG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Q,YMP,TD,35,5,8,0,0
NX-I-VLH-RTI1,BKNQH,Yze Cpbftcpo,B,Q,PAY,RB,2,1,1,1,0
U8-I-JFG-FRI3,BKNQG,Yze Cpbftcpo,D,E,YMP,BT,3,1,1,0,0
KN-I-VFN-QTF,BKNFH,Hltgpo,B,Q,AXM,OR,8,2,5,0,0
HN-I-QFF-QTF,BKNDF,Yze Cpbftcpo,B,L,AXM,LR,1,1,3,0,0
XW-I-DFM-QTF,BKNRG,Spwo,C,Y,AXM,BA,6,1,9,0,0
YP-I-WGG-FRI2,BKNFF,Yze Cpbftcpo,A,R,YMP,CT,1,1,1,0,0
ST-I-TFQ-FRI1,BKNFH,Yze Cpbftcpo,C,O,YMP,WX,7,1,6,0,0
S4-I-LFF-FRI4,BKNFF,Yze Cpbftcpo,B,G,YMP,W4,2,1,1,0,0
XB-I-VFV-RTI2,BKNFH,Yze Cpbftcpo,B,Q,PAY,BF,1,1,2,0,1
NX-I-VKM-FRI3,BKNQH,Spwo,B,Q,YMP,RB,1,1,1,0,0
QM-I-IFJ-FRI3,BKNFH,Spwo,B,D,YMP,UQ,7,3,4,0,0
B4-I-VFJ-FRI2,BKNFF,Hltgpo,B,Q,YMP,F4,8,1,1,0,0
YM-I-LHK-FRI2,BKNDG,Yze Cpbftcpo,B,G,YMP,CQ,1,1,2,0,0
OF-I-LVI-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,SJ,1,1,3,0,0
VF-I-TFK-RTI1,BKNRF,Yze Cpbftcpo,B,O,PAY,ZJ,2,1,2,0,0
UN-I-VFT-FRI4,BKNDG,Hltgpo,B,Q,YMP,YR,4,3,4,1,1
SG-I-XFF-QTF,BKNFG,Hltgpo,D,S,AXM,DY,6,1,3,0,1
XB-I-LFK-RTI1,BKNFH,Yze Cpbftcpo,B,G,PAY,BF,1,1,2,0,0
FY-I-VHV-FRI7,BKNDG,Spwo,B,Q,YMP,JC,6,1,3,1,0
PX-I-FGW-FRI4,BKNDF,Yze Cpbftcpo,B,A,YMP,TB,6,1,2,0,0
KW-I-VFJ-FRI6,BKNFI,Hltgpo,B,Q,YMP,OA,4,1,3,0,0
NX-I-JFD-FRI1,BKNQH,Yze Cpbftcpo,A,E,YMP,RB,1,1,2,0,0
VF-I-IFR-FRI3,BKNRF,Spwo,B,D,YMP,ZJ,3,1,1,0,0
NS-I-VFH-RTI4,BKNDG,Yze Cpbftcpo,B,Q,PAY,RW,4,1,2,0,0
SG-I-LFH-FRI1,BKNFG,Yze Cpbftcpo,D,G,YMP,DY,1,1,3,0,0
PX-I-VKZ-FRI6,BKNDF,Spwo,C,Q,YMP,TB,50,6,6,0,1
KW-I-XFH-FRI10,BKNFI,Hltgpo,B,S,YMP,OA,12,3,2,1,0
UY-I-XFG-RTI2,BKNFI,Yze Cpbftcpo,B,S,PAY,YC,1,1,1,0,0
UQ-I-VFA-FRI6,BKNFG,Hltgpo,B,Q,YMP,YU,4,1,2,0,0
HT-I-VGT-QTF,BKNDF,Spwo,B,Q,AXM,LX,2,1,2,0,0
PX-I-LIN-FRI2,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,1,1,1,0,0
OF-I-XFN-FRI8,BKNDH,Hltgpo,B,S,YMP,SJ,1,1,2,1,0
OF-I-VKK-FRI2,BKNDH,Spwo,C,Q,YMP,SJ,26,4,8,0,1
GJ-I-VFZ-FRI14,BKNFI,Hltgpo,B,Q,YMP,KN,7,1,3,1,0
IA-I-VFI-RTI3,BKNFH,Hltgpo,D,Q,PAY,UQ,2,1,1,0,1
GJ-I-WFG-FRI5,BKNFI,Yze Cpbftcpo,B,R,YMP,KN,4,1,1,0,0
PX-I-IGE-RTI1,BKNDF,Yze Cpbftcpo,B,D,PAY,TB,2,1,1,0,0
UG-I-VQF-FRI1,BKNFH,Hltgpo,D,Q,YMP,UP,1,1,1,0,0
ST-I-TFS-FRI1,BKNFH,Yze Cpbftcpo,B,O,YMP,WX,2,1,1,0,0
YP-I-PGM-FRI6,BKNFF,Yze Cpbftcpo,A,K,YMP,CT,1,1,1,0,0
FY-I-IHN-QTF,BKNDG,Spwo,C,D,AXM,JC,4,2,5,0,1
UP-I-HIT-FRI10,BKNQH,Yze Cpbftcpo,B,C,YMP,YT,2,1,1,1,0
HN-I-LGW-FRI2,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,2,1,2,0,0
JL-I-VKX-FRI1,BKNQF,Spwo,B,Q,YMP,NP,6,1,4,0,1
PX-I-WFN-FRI1,BKNDF,Yze Cpbftcpo,B,R,YMP,TB,2,1,4,0,0
WT-I-VFC-QTF,BKNFG,Spwo,C,Q,AXM,AX,2,1,3,0,1
NX-I-FHE-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,1,1,2,0,0
FY-I-DQH-RTI2,BKNDG,Yze Cpbftcpo,B,Y,PAY,JC,5,1,1,0,0
SJ-I-SEB-FRI3,BKNFI,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,N,YMP,WN,13,1,3,0,1
UG-I-XFJ-FRI2,BKNDG,Hltgpo,D,S,YMP,EV,7,2,4,1,0
SE-I-XFG-FRI4,BKNDG,Hltgpo,C,S,YMP,WI,20,5,3,1,1
JY-I-VFG-FRI1,BKNQG,Spwo,B,Q,YMP,NC,3,2,3,0,0
FJ-I-VFO-FRI4,BKNRG,Spwo,B,Q,YMP,JN,10,4,2,0,0
FY-I-VII-QTF,BKNDG,Hltgpo,C,Q,AXM,JC,3,1,2,1,0
UQ-I-VFY-RTI4,BKNFG,Yze Cpbftcpo,B,Q,PAY,YU,4,1,3,0,0
P7-I-SGC-RTI1,BKNFF,Yze Cpbftcpo,B,N,PAY,T7,2,2,3,0,0
LW-I-VFD-QTF,BKNFF,Spwo,C,Q,AXM,PA,13,2,9,0,1
OF-I-WIM-QTF,BKNDH,Yze Cpbftcpo,A,R,AXM,SJ,2,1,2,0,0
OT-I-PIO-FRI7,BKNQG,Yze Cpbftcpo,A,K,YMP,SX,1,1,1,0,0
YP-I-LIW-QTF,BKNFF,Yze Cpbftcpo,C,G,AXM,CT,1,1,3,0,0
PX-I-VKX-FRI2,BKNDF,Spwo,B,Q,YMP,TB,1,1,2,0,0
RZ-I-VFT-FRI6,BKNQF,Spwo,C,Q,YMP,VD,7,3,5,0,0
UQ-I-DFG-FRI4,BKNFG,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Y,YMP,YU,12,3,7,1,0
WT-I-VFG-FRI16,BKNFG,Hltgpo,B,Q,YMP,AX,8,1,3,1,0
YB-I-IFO-QTF,BKNDH,Spwo,C,D,AXM,CF,7,3,10,0,0
YB-I-REG-RTI3,BKNDH,Yze Cpbftcpo,A,M,PAY,CF,2,1,1,0,0
FY-I-AFK-RTI1,BKNDG,Yze Cpbftcpo,B,V,PAY,JC,7,2,1,0,0
UP-I-KFJ-QTF,BKNQH,Hltgpo,C,F,AXM,YT,11,2,3,0,0
IJ-I-VTM-RTI3,BKNFH,Yze Cpbftcpo,B,Q,PAY,MN,3,2,2,0,0
GJ-I-VGJ-FRI9,BKNFI,Spwo,B,Q,YMP,KN,4,2,1,1,0
JL-I-LDR-QTF,BKNQF,Yze Cpbftcpo,C,G,AXM,NP,2,1,8,0,0
NX-I-FHN-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,1,1,1,0,0
OF-I-THA-FRI1,BKNDH,Yze Cpbftcpo,B,O,YMP,SJ,2,1,2,0,0
ZP-I-VIS-RTI2,BKNFI,Yze Cpbftcpo,B,Q,PAY,DT,2,1,1,0,0
B4-I-VFM-QTF,BKNFF,Hltgpo,C,Q,AXM,F4,6,1,3,0,0
JL-I-VKQ-FRI5,BKNQF,Spwo,C,Q,YMP,NP,2,1,3,0,0
SE-I-LFP-FRI3,BKNDG,Yze Cpbftcpo,B,G,YMP,WI,2,1,3,0,0
UY-I-WGD-FRI1,BKNFI,Yze Cpbftcpo,A,R,YMP,YC,1,1,2,0,0
JL-I-LFH-FRI9,BKNQF,Yze Cpbftcpo,B,G,YMP,NP,32,3,6,1,1
PF-I-DFK-QTF,BKNFG,Spwo,D,Y,AXM,DY,5,1,6,0,1
NI-I-VFL-FRI9,BKNDG,Hltgpo,B,Q,YMP,RM,6,1,4,0,1
YM-I-RFV-FRI4,BKNDG,Yze Cpbftcpo,B,M,YMP,CQ,3,1,2,0,0
ZU-I-KFF-FRI2,BKNFG,Spwo,B,F,YMP,DY,3,2,3,0,0
NX-I-PJO-QTF,BKNQH,Yze Cpbftcpo,A,K,AXM,RB,1,1,1,0,0
NX-I-FIY-QTF,BKNQH,Yze Cpbftcpo,C,A,AXM,RB,1,1,4,0,0
YP-I-HGF-QTF,BKNFF,Yze Cpbftcpo,B,C,AXM,CT,1,1,2,0,0
UP-I-VFO-FRI6,BKNQH,Spwo,C,Q,YMP,YT,15,3,3,0,1
ST-I-TFP-FRI2,BKNFH,Yze Cpbftcpo,B,O,YMP,WX,2,1,2,1,0
ZF-I-WFF-FRI6,BKNQG,Yze Cpbftcpo,A,R,YMP,DJ,1,1,3,0,0
GW-I-LFN-FRI3,BKNDF,Yze Cpbftcpo,B,G,YMP,KA,3,1,1,0,0
OF-I-SHG-QTF,BKNDH,Hltgpo,B,N,AXM,SJ,1,1,2,0,0
YM-I-WIZ-FRI11,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,1,1,1,0,0
VF-I-XFH-FRI3,BKNRF,Spwo,C,S,YMP,ZJ,47,8,10,1,1
OT-I-PIO-FRI8,BKNQG,Yze Cpbftcpo,A,K,YMP,SX,1,1,1,0,0
GZ-I-LFI-QTF,BKNFH,Yze Cpbftcpo,B,G,AXM,KD,2,1,2,0,1
FY-I-SFQ-FRI5,BKNDG,Hltgpo,C,N,YMP,JC,17,1,4,1,1
GW-I-VFH-FRI8,BKNDF,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,KA,1,1,1,0,0
YM-I-LGE-FRI6,BKNDG,Yze Cpbftcpo,B,G,YMP,CQ,1,1,1,0,0
PX-I-LQX-FRI16,BKNDF,Yze Cpbftcpo,B,G,YMP,TB,3,1,4,1,0
SE-I-UFG-FRI1,BKNDG,Yze Cpbftcpo,B,P,YMP,WI,3,0,2,0,0
JL-I-AFI-FRI6,BKNQF,Spwo,B,V,YMP,NP,2,1,1,0,0
ST-I-LFN-RTI1,BKNFH,Yze Cpbftcpo,B,G,PAY,WX,1,1,1,0,0
SE-I-LGJ-FRI2,BKNDG,Yze Cpbftcpo,B,G,YMP,WI,3,1,1,0,0
GW-I-VFY-QTF,BKNDF,Hltgpo,B,Q,AXM,KA,2,1,1,0,0
OF-I-TIR-QTF,BKNDH,Yze Cpbftcpo,C,O,AXM,SJ,1,1,2,0,0
RZ-I-VFW-FRI1,BKNQF,Hltgpo,C,Q,YMP,VD,16,4,4,0,0
NX-I-IFY-FRI1,BKNQH,Spwo,B,D,YMP,RB,2,2,1,0,0
FY-I-UFH-QTF,BKNDG,Yze Cpbftcpo,B,P,AXM,JC,2,1,2,0,0
ST-I-VFE-FRI4,BKNFH,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,WX,5,2,3,0,1
OF-I-XFT-QTF,BKNDH,Spwo,C,S,AXM,SJ,40,4,10,0,1
JL-I-VFK-RTI3,BKNQF,Yze Cpbftcpo,B,Q,PAY,NP,1,1,1,0,0
ST-I-VFV-FRI6,BKNFH,Spwo,C,Q,YMP,WX,4,3,5,1,0
XS-I-LKT-FRI2,BKNDG,Yze Cpbftcpo,B,G,YMP,BW,2,1,1,0,0
RZ-I-DFP-FRI5,BKNQF,Hltgpo,C,Y,YMP,VD,33,5,3,1,0
NX-I-JGV-QTF,BKNQH,Yze Cpbftcpo,A,E,AXM,RB,1,1,2,0,0
NX-I-LJN-FRI2,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,8,3,1,0,0
P7-I-UTC-QTF,BKNFF,Yze Cpbftcpo,B,P,AXM,T7,6,2,1,0,0
OT-I-HGE-QTF,BKNQG,Yze Cpbftcpo,A,C,AXM,SX,1,1,2,0,0
OT-I-VGC-FRI11,BKNQG,Spwo,B,Q,YMP,SX,5,2,1,0,0
HN-I-LFM-FRI5,BKNDF,Yze Cpbftcpo,B,G,YMP,LR,7,2,3,0,0
NS-I-VFN-QTF,BKNDG,Hltgpo,C,Q,AXM,RW,7,1,5,0,0
PX-I-TGP-FRI1,BKNDF,Yze Cpbftcpo,B,O,YMP,TB,5,3,6,1,1
OT-I-RFP-FRI4,BKNQG,Yze Cpbftcpo,A,M,YMP,SX,1,1,2,0,0
NI-I-VFV-FRI6,BKNDG,Hltgpo,C,Q,YMP,RM,57,12,6,0,0
SC-I-IFF-QTF,BKNFG,Spwo,D,D,AXM,DY,3,1,1,0,0
GW-I-HHL-FRI5,BKNDF,Yze Cpbftcpo,B,C,YMP,KA,1,1,1,0,0
