Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
HN-I-VFG-FRI12,BKNDF,Hltgpo,C,Q,YMP,LR,15,3,4,0,0
FZ-I-UFN-FRI2,BKNFG,Yze Cpbftcpo,A,P,YMP,JD,1,1,1,0,0
YM-I-LQL-FRI10,BKNDG,Yze Cpbftcpo,B,G,YMP,CQ,6,1,2,0,0
FY-I-VFY-FRI6,BKNDG,Hltgpo,B,Q,YMP,JC,2,1,2,0,0
WT-I-VFU-QTF,BKNFG,Spwo,C,Q,AXM,AX,35,6,10,0,1
XB-I-IFM-QTF,BKNFH,Hltgpo,C,D,AXM,BF,2,1,6,0,1
GZ-I-XFI-RTI1,BKNFH,Yze Cpbftcpo,B,S,PAY,KD,101,7,1,1,1
YP-I-IHR-QTF,BKNFF,Hltgpo,C,D,AXM,CT,1,1,7,1,0
YP-I-RGU-FRI1,BKNFF,Yze Cpbftcpo,B,M,YMP,CT,3,2,4,0,1
GH-I-HFH-FRI5,BKNQG,Yze Cpbftcpo,B,C,YMP,KL,3,2,1,0,0
ST-I-VGS-FRI2,BKNFH,Spwo,B,Q,YMP,WX,10,2,2,0,0
NX-I-XFL-FRI4,BKNQH,Spwo,C,S,YMP,RB,62,6,13,0,0
UQ-I-VGL-QTF,BKNFG,Spwo,B,Q,AXM,YU,15,2,2,0,0
FY-I-LHT-FRI2,BKNDG,Yze Cpbftcpo,B,G,YMP,JC,3,1,3,0,0
OT-I-VHA-FRI1,BKNQG,Spwo,B,Q,YMP,SX,3,2,2,0,0
GX-I-VFK-QTF,BKNQF,Yze Spwo zc Hltgpo mfe Cpbftcpo,D,Q,AXM,JO,3,1,2,0,1
QJ-I-VFK-QTF,BKNQG,Spwo,B,Q,AXM,UN,13,2,5,0,0
JE-I-SFJ-RTI1,BKNFH,Yze Cpbftcpo,B,N,PAY,NI,1,1,1,1,1
ST-I-LGQ-QTF,BKNFH,Yze Cpbftcpo,B,G,AXM,WX,3,1,1,1,1
NX-I-VKO-FRI7,BKNQH,Spwo,B,Q,YMP,RB,1,1,2,0,0
UG-I-VRS-FRI1,BKNFF,Hltgpo,D,Q,YMP,VS,8,4,1,0,1
RC-I-JFG-FRI1,BKNDH,Yze Cpbftcpo,A,E,YMP,VG,1,1,2,0,1
OF-I-XGH-FRI10,BKNDH,Hltgpo,B,S,YMP,SJ,4,2,1,0,0
YM-I-VFW-FRI1,BKNDG,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Q,YMP,CQ,2,1,1,0,0
OT-I-WGO-FRI2,BKNQG,Yze Cpbftcpo,A,R,YMP,SX,1,1,2,0,0
FJ-I-VFF-FRI9,BKNRG,Spwo,B,Q,YMP,JN,5,3,3,0,0
XW-I-VFM-FRI4,BKNRG,Spwo,B,Q,YMP,BA,16,3,5,0,0
